"istatId","name","mar19","mar20","officialCovid"
"17001","Acquafredda","4","11","7"
"17004","Alfianello","4","9","4"
"17020","Borgo San Giacomo","5","21","14"
"17021","Borgosatollo","7","30","14"
"17032","Calcinato","8","55","6"
"17046","Cazzago San Martino","6","34","16"
"17056","Coccaglio","4","52","12"
"17069","Erbusco","5","25","10"
"17080","Gottolengo","5","31","11"
"17092","Lonato del Garda","12","36","14"
"17102","Manerba del Garda","3","10","2"
"17103","Manerbio","7","67","30"
"17113","Montichiari","17","42","18"
"17114","Montirone","3","19","12"
"17122","Offlaga","1","15","6"
"17125","Orzinuovi","16","81","41"
"17133","Palazzolo sull'Oglio","19","98","30"
"17136","Passirano","1","24","9"
"17138","San Paolo","7","16","10"
"17143","Pisogne","15","36","8"
"17152","Pralboino","2","20","3"
"17156","Provaglio d'Iseo","5","17","11"
"17159","Quinzano d'Oglio","6","54","13"
"17166","Rovato","10","77","23"
"17173","San Zeno Naviglio","1","8","5"
"17186","Torbole Casaglia","1","21","12"
"17188","Travagliato","12","21","7"
"17190","Trenzano","1","12","7"
"17192","Urago d'Oglio","6","16","2"
